,x,y,z,rf
0,85,198,19,-25
1,86,198,19,-25
2,87,198,19,-26
3,88,198,19,-25
4,89,198,19,-23
5,90,198,19,-21
6,91,198,19,-22
7,92,198,19,-24
8,93,198,19,-30
9,94,198,19,-25
10,95,198,19,-31
11,96,198,19,-23
12,97,198,19,-27
13,98,198,19,-24
14,99,198,19,-23
15,100,198,19,-27
16,101,198,19,-23
17,102,198,19,-22
18,103,198,19,-27
19,104,198,19,-25
20,105,198,19,-22
21,106,198,19,-33
22,107,198,19,-25
23,108,198,19,-23
24,109,198,19,-21
25,110,198,19,-27
26,111,198,19,-23
27,112,198,19,-22
28,113,198,19,-23
29,114,198,19,-32
30,115,198,19,-24
31,116,198,19,-32
32,117,198,19,-29
33,118,198,19,-28
34,119,198,19,-33
35,120,198,19,-31
36,121,198,19,-27
37,122,198,19,-29
38,123,198,19,-25
39,124,198,19,-25
40,125,198,19,-28
41,125,199,19,-23
42,124,199,19,-25
43,123,199,19,-27
44,122,199,19,-31
45,121,199,19,-24
46,120,199,19,-23
47,119,199,19,-23
48,118,199,19,-29
49,117,199,19,-26
50,116,199,19,-25
51,115,199,19,-27
52,114,199,19,-26
53,113,199,19,-26
54,112,199,19,-26
55,111,199,19,-29
56,110,199,19,-23
57,109,199,19,-25
58,108,199,19,-29
59,107,199,19,-25
60,106,199,19,-22
61,105,199,19,-23
62,104,199,19,-25
63,103,199,19,-23
64,102,199,19,-25
65,101,199,19,-27
66,100,199,19,-24
67,99,199,19,-27
68,98,199,19,-22
69,97,199,19,-26
70,96,199,19,-26
71,95,199,19,-22
72,94,199,19,-27
73,93,199,19,-28
74,92,199,19,-23
75,91,199,19,-28
76,90,199,19,-28
77,89,199,19,-25
78,88,199,19,-28
79,87,199,19,-30
80,86,199,19,-26
81,85,199,19,-26
82,85,200,19,-26
83,86,200,19,-25
84,87,200,19,-22
85,88,200,19,-24
86,89,200,19,-30
87,90,200,19,-22
88,91,200,19,-24
89,92,200,19,-26
90,93,200,19,-23
91,94,200,19,-23
92,95,200,19,-26
93,96,200,19,-25
94,97,200,19,-28
95,98,200,19,-27
96,99,200,19,-28
97,100,200,19,-24
98,101,200,19,-29
99,102,200,19,-23
100,103,200,19,-29
101,104,200,19,-28
102,105,200,19,-26
103,106,200,19,-22
104,107,200,19,-25
105,108,200,19,-24
106,109,200,19,-26
107,110,200,19,-27
108,111,200,19,-24
109,112,200,19,-25
110,113,200,19,-24
111,114,200,19,-27
112,115,200,19,-24
113,116,200,19,-23
114,117,200,19,-26
115,118,200,19,-26
116,119,200,19,-33
117,120,200,19,-25
118,121,200,19,-23
119,122,200,19,-23
120,123,200,19,-24
121,124,200,19,-26
122,125,200,19,-23
123,125,201,19,-24
124,124,201,19,-22
125,123,201,19,-27
126,122,201,19,-23
127,121,201,19,-23
128,120,201,19,-19
129,119,201,19,-28
130,118,201,19,-23
131,117,201,19,-28
132,116,201,19,-27
133,115,201,19,-24
134,114,201,19,-33
135,113,201,19,-27
136,112,201,19,-24
137,111,201,19,-20
138,110,201,19,-31
139,109,201,19,-30
140,108,201,19,-25
141,107,201,19,-24
142,106,201,19,-25
143,105,201,19,-28
144,104,201,19,-31
145,103,201,19,-26
146,102,201,19,-26
147,101,201,19,-20
148,100,201,19,-28
149,99,201,19,-24
150,98,201,19,-25
151,97,201,19,-27
152,96,201,19,-25
153,95,201,19,-26
154,94,201,19,-26
155,93,201,19,-21
156,92,201,19,-27
157,91,201,19,-26
158,90,201,19,-28
159,89,201,19,-27
160,88,201,19,-26
161,87,201,19,-25
162,86,201,19,-27
163,85,201,19,-24
164,85,202,19,-31
165,86,202,19,-26
166,87,202,19,-23
167,88,202,19,-28
168,89,202,19,-28
169,90,202,19,-27
170,91,202,19,-26
171,92,202,19,-27
172,93,202,19,-25
173,94,202,19,-24
174,95,202,19,-30
175,96,202,19,-25
176,97,202,19,-30
177,98,202,19,-25
178,99,202,19,-26
179,100,202,19,-27
180,101,202,19,-29
181,102,202,19,-21
182,103,202,19,-28
183,104,202,19,-27
184,105,202,19,-25
185,106,202,19,-26
186,107,202,19,-24
187,108,202,19,-27
188,109,202,19,-24
189,110,202,19,-23
190,111,202,19,-25
191,112,202,19,-23
192,113,202,19,-31
193,114,202,19,-27
194,115,202,19,-32
195,116,202,19,-24
196,117,202,19,-23
197,118,202,19,-27
198,119,202,19,-22
199,120,202,19,-29
200,121,202,19,-23
201,122,202,19,-22
202,123,202,19,-28
203,124,202,19,-27
204,125,202,19,-25
205,125,203,19,-26
206,124,203,19,-24
207,123,203,19,-23
208,122,203,19,-32
209,121,203,19,-29
210,120,203,19,-26
211,119,203,19,-28
212,118,203,19,-24
213,117,203,19,-24
214,116,203,19,-27
215,115,203,19,-25
216,114,203,19,-28
217,113,203,19,-28
218,112,203,19,-25
219,111,203,19,-22
220,110,203,19,-27
221,109,203,19,-27
222,108,203,19,-21
223,107,203,19,-26
224,106,203,19,-25
225,105,203,19,-25
226,104,203,19,-25
227,103,203,19,-30
228,102,203,19,-26
229,101,203,19,-31
230,100,203,19,-24
231,99,203,19,-19
232,98,203,19,-25
233,97,203,19,-33
234,96,203,19,-27
235,95,203,19,-26
236,94,203,19,-28
237,93,203,19,-24
238,92,203,19,-23
239,91,203,19,-27
240,90,203,19,-25
241,89,203,19,-28
242,88,203,19,-33
243,87,203,19,-26
244,86,203,19,-25
245,85,203,19,-22
246,85,204,19,-22
247,86,204,19,-26
248,87,204,19,-24
249,88,204,19,-23
250,89,204,19,-25
251,90,204,19,-30
252,91,204,19,-22
253,92,204,19,-27
254,93,204,19,-28
255,94,204,19,-29
256,95,204,19,-27
257,96,204,19,-24
258,97,204,19,-25
259,98,204,19,-26
260,99,204,19,-27
261,100,204,19,-26
262,101,204,19,-26
263,102,204,19,-25
264,103,204,19,-30
265,104,204,19,-22
