,x,y,z
0,85,198,81.6
1,86,198,81.6
2,87,198,94.6
3,88,198,88.2
4,89,198,88.68
5,90,198,87.92
6,91,198,88.12
7,92,198,93.36
8,93,198,89.7
9,94,198,96.76
10,95,198,90.76
11,96,198,94.36
12,97,198,92.48
13,98,198,99.22
14,99,198,97.7
15,100,198,96.42
16,101,198,86.88
17,102,198,96.2
18,103,198,92.58
19,104,198,82.7
20,105,198,78.4
21,106,198,86.94
22,107,198,99.32
23,108,198,101.26
24,109,198,85.78
25,110,198,103.28
26,111,198,99.16
27,112,198,97.42
28,113,198,104.88
29,114,198,77.0
30,115,198,100.92
31,116,198,74.12
32,117,198,79.58
33,118,198,98.72
34,119,198,99.64
35,120,198,102.86
36,121,198,96.96
37,122,198,102.52
38,123,198,102.32
39,124,198,104.48
40,125,198,103.76
41,125,199,104.6
42,124,199,103.66
43,123,199,100.9
44,122,199,100.92
45,121,199,100.34
46,120,199,97.8
47,119,199,101.08
48,118,199,100.22
49,117,199,103.12
50,116,199,87.6
51,115,199,96.68
52,114,199,87.54
53,113,199,99.78
54,112,199,90.84
55,111,199,96.58
56,110,199,78.68
57,109,199,99.18
58,108,199,101.86
59,107,199,97.64
60,106,199,99.68
61,105,199,90.72
62,104,199,82.12
63,103,199,92.88
64,102,199,80.3
65,101,199,87.18
66,100,199,96.76
67,99,199,79.12
68,98,199,102.28
69,97,199,96.8
70,96,199,95.92
71,95,199,90.02
72,94,199,98.6
73,93,199,79.8
74,92,199,80.4
75,91,199,83.18
76,90,199,93.18
77,89,199,91.78
78,88,199,81.98
79,87,199,101.08
80,86,199,80.34
81,85,199,95.9
82,85,200,96.02
83,86,200,85.12
84,87,200,87.8
85,88,200,97.98
86,89,200,86.0
87,90,200,91.96
88,91,200,92.7
89,92,200,88.12
90,93,200,84.0
91,94,200,84.6
92,95,200,88.44
93,96,200,85.24
94,97,200,102.42
95,98,200,96.74
96,99,200,90.4
97,100,200,99.9
98,101,200,88.36
99,102,200,90.1
100,103,200,92.58
101,104,200,83.68
102,105,200,88.3
103,106,200,98.4
104,107,200,95.94
105,108,200,79.38
106,109,200,97.6
107,110,200,97.88
108,111,200,90.56
109,112,200,90.4
110,113,200,101.96
111,114,200,92.98
112,115,200,87.26
113,116,200,84.48
114,117,200,104.14
115,118,200,101.6
116,119,200,99.06
117,120,200,99.58
118,121,200,94.04
119,122,200,95.36
120,123,200,95.98
121,124,200,101.7
122,125,200,96.04
123,125,201,101.38
124,124,201,96.46
125,123,201,99.22
126,122,201,96.98
127,121,201,92.4
128,120,201,101.58
129,119,201,102.14
130,118,201,103.48
131,117,201,90.26
132,116,201,84.8
133,115,201,89.68
134,114,201,98.34
135,113,201,100.3
136,112,201,94.88
137,111,201,95.96
138,110,201,83.72
139,109,201,70.78
140,108,201,97.14
141,107,201,95.72
142,106,201,91.86
143,105,201,96.98
144,104,201,81.06
145,103,201,96.98
146,102,201,96.82
147,101,201,97.58
148,100,201,94.8
149,99,201,99.8
150,98,201,96.9
151,97,201,99.8
152,96,201,100.84
153,95,201,98.9
154,94,201,98.36
155,93,201,99.12
156,92,201,99.34
157,91,201,95.64
158,90,201,95.7
159,89,201,98.24
160,88,201,78.42
161,87,201,89.84
162,86,201,98.28
163,85,201,99.98
164,85,202,95.4
165,86,202,94.44
166,87,202,96.92
167,88,202,97.48
168,89,202,94.36
169,90,202,97.58
170,91,202,95.06
171,92,202,101.84
172,93,202,90.5
173,94,202,97.2
174,95,202,100.28
175,96,202,97.06
176,97,202,98.92
177,98,202,98.44
178,99,202,100.1
179,100,202,100.0
180,101,202,97.56
181,102,202,92.96
182,103,202,96.92
183,104,202,92.92
184,105,202,100.12
185,106,202,94.64
186,107,202,90.82
187,108,202,101.96
188,109,202,98.0
189,110,202,100.06
190,111,202,99.84
191,112,202,98.92
192,113,202,101.88
193,114,202,96.42
194,115,202,99.32
195,116,202,103.52
196,117,202,100.92
197,118,202,86.12
198,119,202,94.48
199,120,202,102.78
200,121,202,97.54
201,122,202,96.14
202,123,202,96.8
203,124,202,92.48
204,125,202,96.66
205,125,203,98.84
206,124,203,97.82
207,123,203,95.3
208,122,203,101.34
209,121,203,98.1
210,120,203,96.22
211,119,203,95.44
212,118,203,101.36
213,117,203,102.38
214,116,203,101.0
215,115,203,101.18
216,114,203,103.64
217,113,203,101.96
218,112,203,99.44
219,111,203,95.26
220,110,203,89.1
221,109,203,88.26
222,108,203,98.8
223,107,203,98.28
224,106,203,98.34
225,105,203,101.04
226,104,203,84.68
227,103,203,73.36
228,102,203,90.84
229,101,203,84.8
230,100,203,80.08
231,99,203,81.4
232,98,203,72.02
233,97,203,85.1
234,96,203,83.98
235,95,203,85.92
236,94,203,77.12
237,93,203,77.52
238,92,203,96.14
239,91,203,94.5
240,90,203,92.96
241,89,203,89.44
242,88,203,92.24
243,87,203,92.68
244,86,203,80.82
245,85,203,88.34
246,85,204,79.8
247,86,204,99.88
248,87,204,95.98
249,88,204,87.54
250,89,204,89.66
251,90,204,83.2
252,91,204,100.76
253,92,204,92.34
254,93,204,92.6
255,94,204,79.1
256,95,204,98.78
257,96,204,100.58
258,97,204,95.9
259,98,204,90.76
260,99,204,91.66
261,100,204,96.3
262,101,204,99.38
263,102,204,100.8
264,103,204,98.28
265,104,204,96.32
266,105,204,98.24
267,106,204,101.12
268,107,204,98.72
269,108,204,100.24
270,109,204,101.06
271,110,204,97.88
272,111,204,101.6
273,112,204,98.1
274,113,204,100.98
275,114,204,103.32
276,115,204,99.32
277,116,204,103.72
278,117,204,102.66
279,118,204,97.16
280,119,204,99.34
281,120,204,97.34
282,121,204,84.94
283,122,204,93.26
284,123,204,90.88
285,124,204,92.32
286,125,204,92.08
287,125,205,93.42
288,124,205,95.98
289,123,205,96.04
290,122,205,89.38
291,121,205,95.82
292,120,205,102.62
293,119,205,102.94
294,118,205,97.6
295,117,205,100.42
296,116,205,93.0
297,115,205,86.94
298,114,205,95.7
299,113,205,103.38
300,112,205,89.86
301,111,205,77.7
302,110,205,95.42
303,109,205,93.18
304,108,205,91.76
305,107,205,78.46
306,106,205,89.28
307,105,205,94.3
308,104,205,91.66
309,103,205,101.88
310,102,205,99.92
311,101,205,98.08
312,100,205,93.8
313,99,205,100.66
314,98,205,100.3
315,97,205,101.18
316,96,205,96.46
317,95,205,99.18
318,94,205,90.66
319,93,205,96.18
320,92,205,98.56
321,91,205,97.74
322,90,205,96.8
323,89,205,96.62
324,88,205,93.4
325,87,205,90.2
326,86,205,98.98
327,85,205,94.14
328,85,206,93.68
329,86,206,99.82
330,87,206,96.86
331,88,206,95.7
332,89,206,96.78
333,90,206,95.32
334,91,206,91.68
335,92,206,98.9
336,93,206,97.76
337,94,206,99.16
338,95,206,97.64
339,96,206,98.98
340,97,206,101.1
341,98,206,102.02
342,99,206,99.8
343,100,206,101.74
344,101,206,94.9
345,102,206,98.92
346,103,206,99.08
347,104,206,93.22
348,105,206,83.76
349,106,206,99.5
350,107,206,82.12
351,108,206,96.36
352,109,206,95.74
353,110,206,88.76
354,111,206,83.22
355,112,206,95.34
356,113,206,103.32
357,114,206,94.78
358,115,206,94.42
359,116,206,86.7
360,117,206,103.84
361,118,206,92.98
362,119,206,101.64
363,120,206,99.0
364,121,206,95.52
365,122,206,92.86
366,123,206,93.88
367,124,206,94.28
368,125,206,95.98
369,125,207,94.04
370,124,207,96.76
371,123,207,91.74
372,122,207,96.46
373,121,207,92.08
374,120,207,96.42
375,119,207,103.44
376,118,207,95.1
377,117,207,104.86
378,116,207,105.56
379,115,207,104.46
380,114,207,103.6
381,113,207,102.28
382,112,207,98.9
383,111,207,98.0
384,110,207,95.16
385,109,207,99.48
386,108,207,88.76
387,107,207,87.42
388,106,207,98.94
389,105,207,96.42
390,104,207,101.02
391,103,207,99.2
392,102,207,98.8
393,101,207,99.42
394,100,207,100.14
395,99,207,100.32
396,98,207,101.06
397,97,207,100.1
398,96,207,94.58
399,95,207,97.92
400,94,207,95.88
401,93,207,101.82
402,92,207,101.3
403,91,207,97.16
404,90,207,96.68
405,89,207,98.32
406,88,207,91.9
407,87,207,97.92
408,86,207,94.58
409,85,207,95.16
410,85,208,93.08
411,86,208,97.34
412,87,208,97.48
413,88,208,91.0
414,89,208,99.66
415,90,208,92.9
416,91,208,96.52
417,92,208,100.5
418,93,208,95.44
419,94,208,98.22
420,95,208,103.68
421,96,208,100.9
422,97,208,100.32
423,98,208,97.68
424,99,208,98.48
425,100,208,101.62
426,101,208,100.14
427,102,208,96.84
428,103,208,95.96
429,104,208,95.38
430,105,208,89.44
431,106,208,99.48
432,107,208,80.66
433,108,208,91.48
434,109,208,97.2
435,110,208,100.64
436,111,208,95.94
437,112,208,91.66
438,113,208,95.78
439,114,208,104.92
440,115,208,98.2
441,116,208,103.72
442,117,208,104.06
443,118,208,83.74
444,119,208,101.98
445,120,208,96.7
446,121,208,101.68
447,122,208,98.18
448,123,208,93.0
449,124,208,96.62
450,125,208,94.96
451,125,209,98.08
452,124,209,89.48
453,123,209,89.22
454,122,209,98.84
455,121,209,98.56
456,120,209,80.5
457,119,209,83.06
458,118,209,98.02
459,117,209,102.58
460,116,209,103.18
461,115,209,99.66
462,114,209,101.46
463,113,209,103.34
464,112,209,102.64
465,111,209,100.06
466,110,209,98.24
467,109,209,85.76
468,108,209,93.7
469,107,209,85.44
470,106,209,95.42
471,105,209,93.7
472,104,209,97.4
473,103,209,97.22
474,102,209,94.54
475,101,209,98.76
476,100,209,95.7
477,99,209,99.46
478,98,209,94.86
479,97,209,100.34
480,96,209,99.22
481,95,209,101.4
482,94,209,99.56
483,93,209,102.68
484,92,209,102.62
485,91,209,102.22
486,90,209,97.8
487,89,209,98.3
488,88,209,98.06
489,87,209,96.16
490,86,209,90.96
491,85,209,94.3
492,85,210,95.64
493,86,210,95.2
494,87,210,97.02
495,88,210,99.46
496,89,210,101.62
497,90,210,100.64
498,91,210,94.42
499,92,210,101.3
500,93,210,97.36
501,94,210,94.52
502,95,210,99.2
503,96,210,97.54
504,97,210,91.46
505,98,210,99.94
506,99,210,98.92
507,100,210,99.72
508,101,210,98.08
509,102,210,99.66
510,103,210,98.72
511,104,210,95.44
512,105,210,96.82
513,106,210,89.96
514,107,210,94.08
515,108,210,94.54
516,109,210,93.16
517,110,210,93.0
518,111,210,98.2
519,112,210,103.32
520,113,210,103.02
521,114,210,99.52
522,115,210,103.4
523,116,210,104.04
524,117,210,98.66
525,118,210,104.16
526,119,210,92.66
527,120,210,94.62
528,121,210,99.14
529,122,210,92.62
530,123,210,95.36
